biosample_acc,asm_acc,collection_date,meropenem,gentamicin,ciprofloxacin,trimethoprim-sulfamethoxazole,cefoxitin
SAMN02141992,GCA_000406745.1,NULL,R,S,R,R,
SAMN02141993,GCA_000406765.2,NULL,R,S,R,S,
SAMN02141994,GCA_000406865.1,NULL,R,R,R,R,
SAMN02141995,GCA_000406885.1,NULL,R,I,R,S,
SAMN02142015,GCA_000406405.1,NULL,R,R,R,R,
SAMN02141983,GCA_000406385.1,NULL,R,I,S,S,
SAMN02141996,GCA_000409065.1,NULL,R,S,R,R,
SAMN02142018,GCA_000409085.1,NULL,R,R,R,R,
SAMN02142001,GCA_000409105.1,NULL,R,R,R,R,
SAMN02142020,GCA_000409125.1,NULL,R,R,R,R,
SAMN02141987,GCA_000408965.1,2008-12-22,R,S,R,R,
SAMN02142019,GCA_000408985.1,NULL,S,S,R,R,
SAMN02142016,GCA_000409005.1,NULL,R,R,R,R,
SAMN02142048,GCA_000409025.1,NULL,R,S,R,R,
SAMN02141970,GCA_000409045.1,NULL,R,S,R,S,
SAMN02138644,GCA_000474865.1,NULL,ND,,ND,,
SAMN02138639,GCA_000474905.1,NULL,,ND,ND,ND,
SAMN02138635,GCA_000474885.1,NULL,ND,,ND,ND,
SAMN02138588,GCA_000492755.1,NULL,ND,ND,ND,,
SAMN02138570,GCA_000492935.1,NULL,ND,ND,ND,,
SAMN02138558,GCA_000493135.1,NULL,ND,ND,ND,,
SAMN02138672,GCA_000492195.1,2012-09,ND,ND,ND,ND,
SAMN02138671,GCA_000492215.1,2012-09,ND,ND,ND,ND,
SAMN02138667,GCA_000492295.1,2012-09,ND,ND,ND,ND,
SAMN02138655,GCA_000492315.1,2012-09,ND,ND,ND,ND,
SAMN02138654,GCA_000492335.1,2012-09,ND,ND,ND,ND,
SAMN02138653,GCA_000492355.1,2012-09,ND,ND,ND,ND,
SAMN02138652,GCA_000492375.1,2012-09,ND,ND,ND,ND,
SAMN02138651,GCA_000492395.1,2012-09,ND,ND,ND,ND,
SAMN02138586,GCA_000492775.1,NULL,ND,ND,ND,,
SAMN02138576,GCA_000492875.1,NULL,ND,ND,ND,,
SAMN02138572,GCA_000492915.1,NULL,ND,ND,ND,,
SAMN02138561,GCA_000493075.1,NULL,ND,ND,ND,,
SAMN02138559,GCA_000493115.1,NULL,ND,ND,ND,,
SAMN02138557,GCA_000493155.1,NULL,ND,ND,ND,,
SAMN02138661,GCA_000521985.1,2012-09,S,ND,ND,ND,
SAMN02356624,GCA_000566725.1,NULL,S,R,R,,S
SAMN02356623,GCA_000566745.1,NULL,S,R,R,,S
SAMN02356622,GCA_000566765.1,NULL,S,S,S,,S
SAMN02356621,GCA_000566785.1,NULL,R,S,R,,R
SAMN02356618,GCA_000566805.1,NULL,S,S,R,,S
SAMN02356617,GCA_000566825.1,NULL,R,R,R,,R
SAMN02356614,GCA_000566845.1,NULL,S,S,S,,S
SAMN02356613,GCA_000566865.1,NULL,R,I,R,,R
SAMN02356605,GCA_000566905.1,NULL,R,R,R,,R
SAMN02356602,GCA_000566925.1,NULL,S,R,R,,S
SAMN02356601,GCA_000566945.1,NULL,R,S,R,,R
SAMN02356600,GCA_000566965.1,NULL,S,S,S,,S
SAMN02356599,GCA_000566985.1,NULL,R,S,R,,R
SAMN02356594,GCA_000567025.1,2013-02,ND,ND,ND,ND,
SAMN02356593,GCA_000567045.1,2013-02,R,ND,ND,ND,
SAMN02356592,GCA_000567065.1,2013-02,ND,ND,ND,ND,
SAMN02356591,GCA_000567085.1,2013-02,ND,ND,ND,ND,
SAMN02356587,GCA_000567105.1,2012-12,ND,ND,ND,ND,
SAMN02356586,GCA_000567125.1,2012-12,ND,ND,ND,ND,
SAMN02356585,GCA_000567145.1,2013-02,ND,ND,ND,ND,
SAMN02356584,GCA_000567165.1,2013-02,ND,ND,ND,ND,
SAMN02138666,GCA_000567225.2,2012-09,R,ND,ND,,
SAMN02138665,GCA_000567245.1,2012-09,ND,ND,ND,ND,
SAMN02138662,GCA_000567265.1,2012-08,ND,ND,ND,ND,
SAMN02138645,GCA_000567285.1,NULL,S,,ND,ND,
SAMN02138642,GCA_000567305.1,NULL,ND,,ND,,
SAMN02138637,GCA_000567325.1,NULL,,ND,ND,ND,
SAMN02138633,GCA_000567385.1,NULL,ND,,,ND,
SAMN02138628,GCA_000567425.1,NULL,ND,,,,
SAMN02138624,GCA_000567465.1,NULL,ND,,ND,,
SAMN02138621,GCA_000567485.1,NULL,,ND,ND,ND,
SAMN02138620,GCA_000567505.1,NULL,R,ND,ND,ND,
SAMN02138603,GCA_000567545.1,NULL,ND,,,,
SAMN02138599,GCA_000567565.1,NULL,ND,,,,
SAMN02138591,GCA_000567585.1,NULL,ND,,,,
SAMN02138590,GCA_000567605.1,NULL,ND,,,,
SAMN02138589,GCA_000567625.1,NULL,ND,,,,
SAMN02138587,GCA_000567645.1,NULL,ND,ND,ND,,
SAMN02138585,GCA_000567665.1,NULL,ND,ND,ND,,
SAMN02138583,GCA_000567685.1,NULL,ND,ND,ND,,
SAMN02138579,GCA_000567725.1,NULL,ND,ND,ND,,
SAMN02138575,GCA_000567745.1,NULL,ND,ND,ND,,
SAMN02138571,GCA_000567765.2,NULL,ND,ND,ND,,
SAMN02138569,GCA_000567785.1,NULL,ND,ND,ND,,
SAMN02138627,GCA_000567825.1,NULL,ND,ND,,,
SAMN02138625,GCA_000567445.1,NULL,,ND,ND,ND,
SAMN02356606,GCA_000566885.1,NULL,S,S,S,,S
SAMN02581395,GCA_000688155.1,2013,ND,ND,ND,,
SAMN02581270,GCA_000688175.1,2013,ND,ND,ND,,ND
SAMN02581266,GCA_000688195.1,2013,ND,ND,ND,,ND
SAMN02581248,GCA_000688215.1,2013,ND,ND,ND,,
SAMN02581275,GCA_000692935.1,2013,ND,ND,ND,ND,
SAMN02581276,GCA_000692955.1,2013,,,ND,ND,
SAMN02581281,GCA_000692975.1,2013,ND,ND,ND,ND,
SAMN02581289,GCA_000693015.1,2013,ND,ND,ND,ND,
SAMN02581290,GCA_000693035.1,2013,ND,ND,ND,ND,
SAMN02581383,GCA_000694435.1,2013,ND,ND,ND,,
SAMN02581384,GCA_000694455.1,2013,ND,ND,ND,,
SAMN02581391,GCA_000694475.2,2013,R,ND,ND,,
SAMN02581392,GCA_000694495.1,2013,ND,ND,ND,,
SAMN02581396,GCA_000694515.1,2013,ND,ND,ND,,
SAMN02581397,GCA_000694535.1,2013,ND,ND,ND,,
SAMN02581240,GCA_000694575.1,2013,ND,ND,ND,,
SAMN02581242,GCA_000694615.1,2013,ND,ND,ND,,
SAMN02581243,GCA_000694635.1,2013,ND,ND,ND,,
SAMN02581244,GCA_000694655.1,2013,ND,ND,ND,,
SAMN02581245,GCA_000694675.1,2013,ND,ND,ND,,
SAMN02581246,GCA_000694695.1,2013,ND,ND,ND,,
SAMN02581247,GCA_000694715.1,2013,ND,ND,ND,,
SAMN02581252,GCA_000694755.1,2013,ND,ND,ND,,
SAMN02581261,GCA_000694795.1,2013,ND,ND,ND,,ND
SAMN02581262,GCA_000694815.1,2013,ND,ND,ND,,ND
SAMN02581265,GCA_000694835.1,2013,ND,ND,ND,,ND
SAMN02581267,GCA_000694855.1,2013,ND,ND,ND,,ND
SAMN02581268,GCA_000694875.1,2013,ND,ND,ND,,ND
SAMN02581269,GCA_000694895.1,2013,ND,ND,ND,,ND
SAMN02581273,GCA_000694915.1,2013,ND,ND,ND,,ND
SAMN02581274,GCA_000694935.1,2013,ND,ND,ND,,ND
SAMN02356597,GCA_000706585.1,NULL,R,S,R,,R
SAMN02142019,GCA_000709225.1,NULL,S,S,R,R,
SAMN03892120,GCA_022316825.1,2012,S,S,R,R,
SAMN04393399,GCA_022316425.1,2015,I,S,S,S,
SAMN04014892,GCA_022316255.1,NULL,R,R,R,R,R
SAMN04448229,GCA_001709275.1,2013-03-14,R,R,R,R,I
SAMN04448241,GCA_001709295.1,2014-03-08,R,S,R,R,I
SAMN05213499,GCA_001720705.1,2013,R,R,R,R,R
SAMN05213503,GCA_001720745.1,2013,S,R,R,S,I
SAMN05213500,GCA_001720755.1,2013,R,R,R,R,R
SAMN05213501,GCA_001720765.1,2013,R,I,R,S,R
SAMN05213502,GCA_001720815.1,2013,S,R,R,S,I
SAMN05213498,GCA_001720805.1,2013,R,R,R,R,R
SAMN05213495,GCA_001720845.1,2013,R,R,R,R,R
SAMN05213494,GCA_001720865.1,2013,R,R,R,R,R
SAMN05213496,GCA_001720905.1,2013,R,R,R,S,R
SAMN04014845,GCA_001875045.2,NULL,R,S,R,R,R
SAMN04014846,GCA_001875055.2,NULL,R,S,R,R,R
SAMN03455990,GCA_002918585.2,2014,R,S,R,R,
SAMN07602587,GCA_003194285.1,2012-01-20,S,S,R,R,
SAMN03455989,GCA_004322955.1,2014,S,S,S,S,S
SAMN03455995,GCA_004322995.1,2015,R,S,S,R,I
SAMN12349656,GCA_007955145.1,2017-05-26,S,S,S,,
SAMN12349655,GCA_007955175.1,2017-04-18,S,S,S,,
SAMN12349650,GCA_007955185.1,2017-05-27,ND,ND,S,,
SAMN12349653,GCA_007955215.1,2017-02-28,S,R,R,,
SAMN12349654,GCA_007955245.1,2017-03-02,S,R,I,,
SAMN12349657,GCA_007955265.1,2017-06-09,S,S,S,,
SAMN12349651,GCA_007955275.1,2017-02-27,S,S,S,,
SAMN12349649,GCA_007955285.1,2017-02-27,S,S,I,,
SAMN12349658,GCA_007955295.1,2017-07-09,R,S,S,,
SAMN12349652,GCA_007955345.1,2017-02-28,S,ND,S,,
SAMN12738927,GCA_008704045.1,2018,R,,,,
SAMN12738928,GCA_008704055.1,2018,R,,,,
SAMN12738926,GCA_008704155.1,2018,R,,,,
SAMN12738925,GCA_008704145.1,2018,I,,,,
SAMN12738924,GCA_008704185.1,2018,R,,,,
SAMN12738923,GCA_008704215.1,2018,R,,,,
SAMN11270023,GCA_011682735.1,2017-07-31,S,S,I,,S
SAMN11270024,GCA_011682755.1,2017-07-26,S,R,I,,S
SAMN11270022,GCA_011682815.1,2017-07-21,S,S,S,,S
SAMN11270020,GCA_011682845.1,2017-07-21,S,R,I,,S
SAMN11270021,GCA_011682855.1,2017-07-21,S,R,I,,S
SAMN11270018,GCA_011682885.1,2017-07-18,S,R,I,,S
SAMN11270017,GCA_011682905.1,2017-07-21,S,S,S,,S
SAMN13176241,GCA_046202665.1,2017-09-12,S,S,S,,S
SAMN13176255,GCA_022182645.1,2017-10-14,S,S,S,,S
SAMN06350012,GCA_013180385.1,2005-01-14,S,R,R,,
SAMN06350009,GCA_013180445.1,2011-07-27,R,S,R,,
SAMN06350010,GCA_013180465.1,2011-08-14,R,S,R,,
SAMN06350008,GCA_013180515.1,2010-06-29,R,R,R,,
SAMN06350007,GCA_013180525.1,2010-06-24,S,R,R,,
SAMN11270034,GCA_013450285.1,2017-08-11,S,S,S,,S
SAMN11270032,GCA_013450305.1,2017-08-11,S,S,S,,S
SAMN11270033,GCA_013450355.1,2017-08-11,S,S,S,,S
SAMN11270031,GCA_013450375.1,2017-08-25,S,S,S,,S
SAMN11270030,GCA_013450385.1,2017-08-11,S,R,S,,S
SAMN11270028,GCA_013450405.1,2017-09-22,S,R,S,,S
SAMN11270027,GCA_013450455.1,2017-09-22,S,S,S,,S
SAMN11270026,GCA_013450475.1,2017-09-22,S,S,R,,S
SAMN11270025,GCA_013867375.1,2017-09-22,S,R,S,,S
SAMN11270035,GCA_014826045.1,2017-08-11,S,S,S,,S
SAMN10086816,GCA_014840245.1,2016,R,R,R,R,R
SAMN10086811,GCA_014840295.1,2016,R,R,S,R,R
SAMN10086809,GCA_014840305.1,2016,R,R,R,R,R
SAMN10086828,GCA_014840315.1,2016,R,R,R,R,R
SAMN10086826,GCA_014840325.1,2016,R,R,S,R,R
SAMN10086825,GCA_014840345.1,2016,R,R,R,R,R
SAMN10086830,GCA_014840395.1,2016,R,S,R,S,R
SAMN10086743,GCA_014840405.1,2015,S,R,R,R,S
SAMN10086740,GCA_014840415.1,2015,R,R,R,R,R
SAMN10086741,GCA_014840435.1,2015,R,R,R,R,R
SAMN10086734,GCA_014840475.1,2016,R,R,R,R,R
SAMN10086745,GCA_014840495.1,2015,R,S,R,R,R
SAMN10086746,GCA_014840505.1,2015,R,S,R,R,R
SAMN10086747,GCA_014840535.1,2015,R,R,R,R,R
SAMN10086696,GCA_014840555.1,2016,R,R,R,R,R
SAMN10086689,GCA_014840575.1,2015,R,R,R,S,R
SAMN10086701,GCA_014840595.1,2016,I,R,R,R,I
SAMN10086702,GCA_014840605.1,2015,R,R,R,R,R
SAMN10086703,GCA_014840635.1,2015,R,R,R,R,R
SAMN10086698,GCA_014840645.1,2016,R,R,R,R,R
SAMN10086829,GCA_014840655.1,1998,S,S,S,S,S
SAMN10086822,GCA_014840695.1,1998,S,S,S,S,S
SAMN10086659,GCA_014840705.1,1998,S,R,S,S,S
SAMN10086661,GCA_014840735.1,1998,S,S,S,S,S
SAMN10086795,GCA_014840775.1,2004,S,S,S,S,S
SAMN10086824,GCA_014840795.1,2004,S,S,S,R,S
SAMN10086737,GCA_014946945.1,2015,R,S,S,R,R
SAMN10086700,GCA_014946935.1,2016,R,R,R,R,R
SAMN10086827,GCA_014946925.1,2016,S,S,S,R,S
SAMN10086807,GCA_014947005.1,2004,S,R,R,R,R
SAMN02138579,GCA_018075085.1,NULL,ND,ND,ND,,
SAMN18920621,GCA_018314145.1,2021-01-06,R,S,R,R,
SAMN20982458,GCA_019915305.1,2021-03-16,S,S,,,
SAMN20982460,GCA_019915325.1,2021-03-26,S,S,,,
SAMN20982459,GCA_019915345.1,2021-03-16,S,S,,,
SAMN18874781,GCA_019927265.1,2020-03-20,R,S,R,R,R
SAMN18874779,GCA_019927285.1,2020-01-15,S,S,S,S,S
SAMN18874777,GCA_019927305.1,2019-11-21,S,S,S,S,S
SAMN18874778,GCA_019927315.1,2020-01-07,S,S,S,S,S
SAMN18874775,GCA_019927325.1,2019-12-03,S,S,S,S,S
SAMN18874776,GCA_019927345.1,2019-12-12,R,S,R,S,R
SAMN18874774,GCA_019927385.1,2019-10-08,S,R,I,S,S
SAMN18874770,GCA_019927405.1,2019-03-26,S,S,S,R,S
SAMN18874771,GCA_019927425.1,2019-02-12,S,S,S,S,S
SAMN18874773,GCA_019927435.1,2019-12-21,S,S,S,S,S
SAMN18874772,GCA_019927465.1,2018-05-25,S,R,S,R,S
SAMN18874769,GCA_019927485.1,2019-10-29,S,S,S,S,S
SAMN18874768,GCA_019927505.1,2019-10-11,S,S,S,S,S
SAMN18874767,GCA_019927525.1,2015-10-18,R,R,R,R,R
SAMN18874766,GCA_019927535.1,2019-09-04,S,S,I,R,S
SAMN18874765,GCA_019927565.1,2019-08-26,S,S,S,S,S
SAMN18874763,GCA_019927585.1,2018-04-23,R,S,S,R,R
SAMN18874764,GCA_019927605.1,2019-07-01,S,S,S,S,S
SAMN18874760,GCA_019927625.1,2018-04-12,R,R,R,R,R
SAMN18874761,GCA_019927655.1,2018-09-26,S,S,S,S,S
SAMN18874762,GCA_019927685.1,2017-09-25,R,R,R,R,R
SAMN18874758,GCA_019927705.1,2018-08-14,S,R,I,R,S
SAMN18874757,GCA_019927725.1,2018-07-24,S,S,S,S,R
SAMN18874756,GCA_019927745.1,2018-06-27,S,R,I,R,S
SAMN18874755,GCA_019927765.1,2018-06-11,S,S,S,R,S
SAMN18874754,GCA_019927785.1,2017-10-10,S,S,S,R,S
SAMN18874753,GCA_019927805.1,2018-01-19,I,S,R,R,R
SAMN18874751,GCA_019927825.1,2018-02-28,S,S,S,R,S
SAMN18874750,GCA_019927845.1,2018-04-02,S,S,S,S,S
SAMN18874752,GCA_019927855.1,2018-04-26,S,S,S,S,R
SAMN18874748,GCA_019927885.1,2018-01-26,S,R,I,R,S
SAMN18874749,GCA_019927905.1,2018-03-30,R,R,R,R,I
SAMN18874747,GCA_019927925.1,2017-12-10,S,S,S,R,S
SAMN18874746,GCA_019927945.1,2017-11-12,R,R,R,R,I
SAMN18874745,GCA_019927965.1,2016-05-04,S,S,S,R,S
SAMN18874743,GCA_019927985.1,2016-05-04,S,R,S,R,S
SAMN18874744,GCA_019928005.1,2016-05-04,R,I,R,R,R
SAMN18874742,GCA_019928025.1,2014-12-15,S,R,R,R,S
SAMN18874741,GCA_019928045.1,2016-05-04,R,S,R,S,R
SAMN18874740,GCA_019928065.1,2014-02-24,S,S,S,S,S
SAMN18874739,GCA_019928075.1,2014-02-24,R,R,I,R,R
SAMN18874737,GCA_019928105.1,2017-04-15,R,S,R,R,R
SAMN18874738,GCA_019928115.1,2017-08-27,S,S,S,R,S
SAMN18874736,GCA_019928145.1,2017-04-11,S,R,S,R,S
SAMN18874735,GCA_019928165.1,2017-01-10,S,S,S,S,S
SAMN18874734,GCA_019928185.1,2013-09-30,R,R,R,R,R
SAMN18874732,GCA_019928205.1,2016-08-18,S,R,R,R,R
SAMN18874733,GCA_019928215.1,2013-04-28,R,I,R,R,R
SAMN18874731,GCA_019928245.1,2016-07-26,S,R,I,R,S
SAMN18874730,GCA_019928265.1,2016-06-02,S,S,R,R,S
SAMN18874727,GCA_019928285.1,2016-01-29,S,S,S,R,S
SAMN18874729,GCA_019928305.1,2016-02-12,S,S,S,S,S
SAMN18874726,GCA_019928345.1,2003-10-25,S,R,S,R,S
SAMN18874725,GCA_019928365.1,2015-09-29,R,R,R,R,R
SAMN18874721,GCA_019928385.1,2014-12-09,S,S,S,S,S
SAMN18874723,GCA_019928405.1,2015-07-12,R,R,R,R,R
SAMN18874722,GCA_019928395.1,2016-01-27,R,R,R,R,R
SAMN18874720,GCA_019928445.1,2014-12-09,S,S,S,S,S
SAMN18874718,GCA_019928465.1,2015-02-04,S,R,R,S,S
SAMN18874719,GCA_019928485.1,2014-10-16,S,S,S,S,S
SAMN18874715,GCA_019928505.1,2015-01-30,S,R,R,R,R
SAMN18874716,GCA_019928525.1,2014-12-31,S,R,R,R,S
SAMN18874714,GCA_019928545.1,2014-11-17,S,S,S,S,S
SAMN18874713,GCA_019928565.1,2014-09-21,S,S,S,S,S
SAMN18874712,GCA_019928585.1,2014-08-19,S,S,S,R,S
SAMN18874711,GCA_019928595.1,2014-08-25,S,S,S,R,S
SAMN18874710,GCA_019928635.1,2014-08-12,S,S,S,S,S
SAMN18874709,GCA_019928625.2,2012-09-20,S,R,R,R,S
SAMN18874708,GCA_019928665.1,2013-06-18,S,R,I,R,S
SAMN18874706,GCA_019928685.1,2014-02-12,S,S,S,S,S
SAMN18874707,GCA_019928705.3,2014-02-28,S,S,R,R,S
SAMN18874705,GCA_019930055.1,2013-12-19,S,R,I,S,S
SAMN18874704,GCA_019930085.1,2013-09-20,S,S,S,R,S
SAMN18874703,GCA_019930125.1,2013-09-28,S,S,S,S,S
SAMN18874702,GCA_019930145.1,2013-03-22,S,S,S,S,S
SAMN18874701,GCA_019930175.1,2013-04-04,S,S,S,R,S
SAMN18874699,GCA_019930165.1,2012-07-21,S,R,S,R,S
SAMN18874700,GCA_019930185.1,2013-03-28,S,S,S,R,S
SAMN18874698,GCA_019930225.1,2013-03-02,S,S,S,S,I
SAMN18874696,GCA_019930245.1,2013-01-23,S,S,S,R,S
SAMN18874694,GCA_019930265.1,2011-07-26,R,R,R,R,S
SAMN18874693,GCA_019930285.1,2011-10-09,R,R,R,R,R
SAMN18874692,GCA_019930305.1,2011-05-27,S,S,S,S,S
SAMN18874691,GCA_019930325.1,2003-04-27,S,R,S,R,R
SAMN18874690,GCA_019930345.1,2011-12-18,S,R,R,R,S
SAMN18874689,GCA_019930355.1,2011-06-03,S,S,I,R,S
SAMN18874688,GCA_019930385.1,missing,S,R,R,R,I
SAMN18874687,GCA_019930405.1,missing,S,I,R,R,R
SAMN18874686,GCA_019930425.1,2011-11-16,S,R,I,R,S
SAMN18874684,GCA_019930445.1,2011-09-07,S,S,S,S,S
SAMN18874685,GCA_019930465.1,2011-06-13,S,R,R,R,I
SAMN18874683,GCA_019930485.1,2011-07-12,S,S,S,S,S
SAMN18874682,GCA_019930505.1,2010-03-14,S,S,S,S,S
SAMN18874780,GCA_020406995.1,2019-12-03,R,S,R,R,R
SAMN18874724,GCA_020407015.1,2015-11-16,R,R,R,R,R
SAMN18874697,GCA_020407035.1,2013-01-20,R,S,R,S,R
SAMN18874695,GCA_020407045.1,2011-05-28,S,S,S,S,I
SAMN18874717,GCA_020407065.1,2008-07-30,S,S,R,R,S
SAMN22169094,GCA_020552715.1,2021-01-26,R,,,,
SAMN22169093,GCA_020552755.1,2021-01-22,S,,,,
SAMN04448224,GCA_021773985.1,2011-05-03,R,R,R,R,I
SAMN26101420,GCA_022430085.1,2019-12-03,,ND,,ND,
SAMN26101609,GCA_022430105.1,2020-08,,,,ND,
SAMN26101437,GCA_022430045.1,2019-07-16,,ND,,ND,
SAMN26101607,GCA_022432005.1,2020-07,,,,ND,
SAMN26101606,GCA_022432085.1,2020-06,,,,ND,
SAMN26101604,GCA_022432045.1,2020-07,,ND,,ND,
SAMN26101602,GCA_022432105.1,2020-06,,ND,,ND,
SAMN26101601,GCA_022431945.1,2020-07-11,,ND,,ND,
SAMN26101598,GCA_022431965.1,2020-11-04,,ND,,ND,
SAMN26101436,GCA_022430465.1,2019-01-11,,ND,,ND,
SAMN26101597,GCA_022430685.1,2020-01-09,,ND,,ND,
SAMN26101596,GCA_022429545.1,2020-12,,ND,,ND,
SAMN26101595,GCA_022431925.1,2020-12,,ND,,ND,
SAMN26101594,GCA_022431905.1,2020-12,,ND,,ND,
SAMN26101592,GCA_022431005.1,2020-01,,ND,,ND,
SAMN26101517,GCA_022429505.1,2020-03-10,,ND,,ND,
SAMN26101509,GCA_022431145.1,2019-09,,ND,,ND,
SAMN26101508,GCA_022431805.1,2019-07,,ND,,ND,
SAMN26101507,GCA_022430945.1,2019-07,,ND,,ND,
SAMN26101505,GCA_022505765.1,2019-01,,ND,,ND,
SAMN26101504,GCA_022431785.1,2019-12-11,,ND,,ND,
SAMN26101495,GCA_022431705.1,2019-10-07,,ND,,ND,
SAMN26101493,GCA_022429945.1,2019-09-06,,,,ND,
SAMN26101435,GCA_022429965.1,2019-12,,ND,,ND,
SAMN26101586,GCA_022430325.1,2020-09-05,,ND,,ND,
SAMN26101585,GCA_022431685.1,2020-08-14,,ND,,ND,
SAMN26101584,GCA_022430925.1,2020-08-05,,ND,,ND,
SAMN26101583,GCA_022430305.1,2020-07-13,,ND,,ND,
SAMN26101582,GCA_022430905.1,2020-05-18,,ND,,ND,
SAMN26101580,GCA_022431065.1,2020-04-29,,ND,,ND,
SAMN26101577,GCA_022429925.1,2020-01-02,,ND,,ND,
SAMN26101575,GCA_022431625.1,2020-07-29,,ND,,ND,
SAMN26101574,GCA_022431585.1,2020-07-20,,ND,,ND,
SAMN26101570,GCA_022431605.1,2020-07-20,,ND,,ND,
SAMN26101567,GCA_022431645.1,2020-06-05,,ND,,ND,
SAMN26101491,GCA_022430565.1,2019-03-11,,,,ND,
SAMN26101490,GCA_022431545.1,2019-03-04,,,,ND,
SAMN26101488,GCA_022431565.1,2019-01-15,,ND,,ND,
SAMN26101486,GCA_022430885.1,2019-10,,ND,,ND,
SAMN26101485,GCA_022429905.1,2019-09,,ND,,ND,
SAMN26101483,GCA_022431485.1,2019-02,,ND,,ND,
SAMN26101482,GCA_022431465.1,2019-01,,ND,,ND,
SAMN26101480,GCA_022429485.1,2019-09-21,,ND,,ND,
SAMN26101478,GCA_022431365.1,2019-08-06,,ND,,ND,
SAMN26101476,GCA_022432155.1,2019-07-22,,ND,,ND,
SAMN26101471,GCA_022429885.1,2019-02-15,,ND,,ND,
SAMN26101470,GCA_022432245.1,2019-01-09,,ND,,ND,
SAMN26101564,GCA_022431105.1,2020-11,,ND,,ND,
SAMN26101563,GCA_022430825.1,2020-09,,ND,,ND,
SAMN26101562,GCA_022431425.1,2020-09,,ND,,ND,
SAMN26101560,GCA_022431385.1,2020-02-06,,ND,,ND,
SAMN26101558,GCA_022431085.1,2020-11-09,,ND,,ND,
SAMN26101555,GCA_022431045.1,2020-05-06,,ND,,ND,
SAMN26101553,GCA_022431345.1,2020-11-06,,ND,,ND,
SAMN26101550,GCA_022431285.1,2020-09-08,,ND,,ND,
SAMN26101549,GCA_022431325.1,2020-08-03,,ND,,ND,
SAMN26101548,GCA_022431305.1,2020-08-03,,ND,,ND,
SAMN26101431,GCA_022429845.1,2019-08,,ND,,ND,
SAMN26101546,GCA_022430705.1,2020-03-03,,ND,,ND,
SAMN26101545,GCA_022430865.1,2020-01-07,,ND,,ND,
SAMN26101467,GCA_022432185.1,2019-12-16,,ND,,ND,
SAMN26101466,GCA_022430225.1,2019-12,,ND,,ND,
SAMN26101465,GCA_022429805.1,2019-09,,ND,,ND,
SAMN26101458,GCA_022429785.1,2019-12,,ND,,ND,
SAMN26101457,GCA_022431165.1,2019-09-05,,ND,,ND,
SAMN26101456,GCA_022430845.1,2019-09-05,,ND,,ND,
SAMN26101455,GCA_022430405.1,2019-11-06,,ND,,ND,
SAMN26101452,GCA_022429765.1,2019-07-03,,ND,,ND,
